,date,username,tweet,hashtags,nlikes,sentiment
0,2021-07-30 08:56:11,retirewcashflow,Spyware infects iPhones says report – How to keep it off  httpstcocmpQwcjKJ4 FoxBusiness,['foxbusiness'],0,0.0
1,2021-07-30 08:55:37,WhosoeverWill1,A Tech Firm Has Blocked Some Governments From Using Its Spyware Over Misuse Claims  NPR  A Tech Firm Has Blocked Some Governments From Using Its Spyware Over Misuse Claims  NPRIsraeli  NewsAndInformation  httpstcoZsK4uxAf4d LIVING STRONG TELEVISION NETWORK,['newsandinformation'],0,1.0
2,2021-07-30 08:55:27,johnekka11,Did Any Indian entity buy Pegasus the Spyware that only Governments can buy How was it paid for Your Honour speak for us  httpstcolCfMXwOj8i via ttindia,[],0,0.0
3,2021-07-30 08:55:26,KMS81811513,Journalists Say They Feel Constantly Watched After Pegasus Spyware Revelations  httpstcozHAwAKyhXU,[],0,0.0
4,2021-07-30 08:55:25,KMS81811513,Mexico Investigates Alleged Graft in Spyware Purchase  httpstcoATaZYInuIT,[],0,2.0
5,2021-07-30 08:55:13,HumQadamTV,Mexico Investigates Alleged Graft in Spyware Purchase  httpstcoG9prsSXBlU,[],0,2.0
6,2021-07-30 08:55:13,HumQadamTV,Journalists Say They Feel Constantly Watched After Pegasus Spyware Revelations  httpstcodtNpML79JS,[],0,0.0
7,2021-07-30 08:55:12,HumQadamTV,Israel’s NSO Under Fire for Spyware Targeting Journalists Dissidents  httpstco1pHZAlMBSJ,[],0,0.0
8,2021-07-30 08:55:11,alqamaronline,Mexico Investigates Alleged Graft in Spyware Purchase  httpstcos4BwIMmVil,[],0,2.0
9,2021-07-30 08:55:11,alqamaronline,Journalists Say They Feel Constantly Watched After Pegasus Spyware Revelations  httpstcoxrd3nZooR8,[],0,0.0
10,2021-07-30 08:55:11,alqamaronline,Israel’s NSO Under Fire for Spyware Targeting Journalists Dissidents  httpstco7uQ6Mg3lx6,[],0,0.0
11,2021-07-30 08:55:10,WireAsian,Journalists Say They Feel Constantly Watched After Pegasus Spyware Revelations  httpstcosecKgX5Jvi,[],0,0.0
12,2021-07-30 08:55:10,WireAsian,Mexico Investigates Alleged Graft in Spyware Purchase  httpstcoRyTdXSLpMQ,[],0,2.0
13,2021-07-30 08:55:09,WireAsian,Israel’s NSO Under Fire for Spyware Targeting Journalists Dissidents  httpstco4R74OKSCNX,[],0,0.0
14,2021-07-30 08:53:52,ClickySound,latestnews Israel is reluctant to regulate its spyware exports “Arms companies can’t keep track of every rifle and bullet they sell Why should we have higher expectations when it comes to software”   httpstcoOuOgbRFBu2 POSTEXCERPT,['latestnews'],0,1.0
15,2021-07-30 08:52:44,JanetWa94118686,Beltway Insider BidenCuba Pegasus Spyware PaulFauci Clash COVIDVaccine Totals Weinstein Bezos Olympics  httpstcoYCaWuRDb97,[],0,0.0
16,2021-07-30 08:49:34,ncryptcellular,Check out our latest blog The latest weapon in spyware’s arsenal  exposed  httpstcoIGFYqjZhKE  httpstcoKRCqdB4Wpe,[],0,1.0
17,2021-07-30 08:49:03,JanetWa94118686,Beltway Insider BidenCuba Pegasus Spyware PaulFauci Clash COVIDVaccine Totals Weinstein Bezos Olympics  httpstcoxqHAFqXUk6,[],0,0.0
18,2021-07-30 08:48:49,archangelGT,Here’s what we know about NSO’s Pegasus spyware  httpstcoQzvXmcgvOB,[],0,0.0
19,2021-07-30 08:47:09,arifayyub,SecBlinken Hey Jaishanker probably didn’t tell you this a huge snooping scandal took place in India  politicians journalists bureaucrats judges businessmen and civil society leaders all snooped through the spyware provided by your other close buddy Israel Selective outrage,[],2,1.0
20,2021-07-30 08:45:55,pragmaticpanda0,NeneRamenLeakes You still can’t convince me that tik tok isn’t spyware from China,[],0,0.0
21,2021-07-30 08:44:08,jorgecortell,Facebook Wanted NSO Spyware to Monitor Users NSO CEO Claims 2020   httpstco75XjGymmwV,[],0,0.0
22,2021-07-30 08:42:15,AlkhaterAziz,on surveillance and dissentThe Spyware Threat to Journalists by ⁦SteveCollNY⁩  The New Yorker  httpstcorlhXImcv2W,[],0,1.0
23,2021-07-30 08:40:34,RashmiS69466472,THE QUESTIONS BEFORE YOUR HONOUR  CJI   Did any indian entity purchase Pegasus the Isriali spyware that only the govtlinked agencies can buy    Is so which entity bought the software How was it paid for   1 500 citizens write open letter,[],0,0.0
24,2021-07-30 08:39:33,LeakedsourceFan,Where is Clcoo at,[],0,0.0
25,2021-07-30 08:35:38,Servelan,Israel is loth to regulate its spyware exports  The Economist  httpstco2IniO9IGYT,[],0,0.0
26,2021-07-30 08:35:35,iluvmel_c,theesbala Go for Nokia G20 no bloatware no spyware 3 years updates   13K ₹,[],0,0.0
27,2021-07-30 08:35:01,NageshraoH,ajay43 Likewise women who have no problem with a Govt that uses no click spyware like Pegasus to snoop on its citizens Like Aloo Tikki in one of her tweets,['pegasus'],1,0.0
28,2021-07-30 08:34:35,kannagoldsun,HOW TO DEFEND YOURSELF AGAINST THE POWERFUL NEW NSO SPYWARE ATTACKS DISCOVERED AROUND THE WORLD   httpstcogqZHFKxX5o,[],0,1.0
29,2021-07-30 08:32:05,igor_os777,Mexico Says Officials Spent 61 Million On Pegasus Spyware  httpstcoo1wUvIT57s,[],3,2.0
30,2021-07-30 08:32:03,igor_os777,Israeli authorities investigate NSO Group over Pegasus spyware abuse claims  httpstco4W19HZqmjE,[],0,0.0
31,2021-07-30 08:30:42,manofjupiter,sumanthraman svaradarajan Usa have their own spyware SNOWDEN LEAKS,[],0,1.0
32,2021-07-30 08:29:51,ChuckSherwood1,Firm that owns Israels spyware company NSO to be liquidated   httpstcouX4zAxFW1n  scoopit  httpstcoc7vdiO6DoS,[],0,2.0
33,2021-07-30 08:29:08,bamitav,Israeli authorities raid offices of spyware maker Pegasus     httpstcoElAT1Omkp8   PegasusSnoopgate NSO infosec security cybersecurity databreach cyberattack cybercrime datatheft dataprivacy hacker malware botnet DDoS CISO ransomware technology tech RT,"['israeli' 'spyware' 'pegasus' 'pegasussnoopgate' 'nso' 'infosec'
 'security' 'cybersecurity' 'databreach' 'cyberattack' 'cybercrime'
 'datatheft' 'dataprivacy' 'hacker' 'malware' 'botnet' 'ddos' 'ciso'
 'ransomware' 'technology' 'tech' 'rt']",1,0.0
34,2021-07-30 08:28:46,jchesky,How to defend yourself against the powerful new NSO spyware attacks discovered around the world  httpstcoKb2UXWBfy0 by Intercept Security Team,[],0,1.0
35,2021-07-30 08:28:30,AnnieGabstonH,This is probably just an attempt at reputation repair They had to know what was happening   A Tech Firm Has Blocked Some Governments From Using Its Spyware Over Misuse Claims  NPR  httpstcopXvpWsEclt via GoogleNews,[],7,2.0
36,2021-07-30 08:27:32,ChuckSherwood1,Firm that owns Israels spyware company NSO to be liquidated  httpstcovjpd8cwyPR,[],0,2.0
37,2021-07-30 08:22:54,RoopaliSriv,“Over 500 prominent signatories write to CJI urging that the government answer questions related to Pegasus spyware scandal”  How long with the GoI keep stonewalling  And this 👇  Where are the women members of the Union Cabinet amp ruling party  Pegasus PegasusSnoopgate  httpstcoNHg9j3Gixh,['pegasus' 'pegasussnoopgate'],2,1.0
38,2021-07-30 08:20:34,habibpa92265926,Pegasus Spyware  How Pegasus hacks your phone  Israel NSO  Dhruv Rathee  httpstcoatge7sHumb via YouTube,[],0,0.0
39,2021-07-30 08:20:09,lidbide,Country with leading Cyber Power  Tier 1USA  Tier 2CHINA Russia UK  France Canada Israel and Australia  TIER3India Japan Iran Indonesia Malaysia Vietnam and North Korea  From the listit looks ISREAL Spyware software can only be used in Tier 3 and below it ,[],0,0.0
40,2021-07-30 08:19:38,rishhikesh,MahuaMoitra GoIMeitY DoTIndia HMOIndia Indian government officials are in contempt of parliament even as UNESCO admitted that the agency had allocated 35000 for the Parisbased Forbidden Stories organization which investigated Pegasus spyware  httpstcoV5G32JIOW8 via SputnikInt,['unesco' 'forbidden' 'pegasus'],0,0.0
41,2021-07-30 08:19:27,rishhikesh,Indian government officials are in contempt of parliament even as UNESCO admitted that the agency had allocated 35000 for the Parisbased Forbidden Stories organization which investigated Pegasus spyware  httpstcoV5G32JIOW8 via SputnikInt,['unesco' 'forbidden' 'pegasus'],0,0.0
42,2021-07-30 08:18:55,tribunkaltim,WhatsApp dan Telegram tak Ingin Disalahkan soal Spyware Pegasus Apa Aplikasi Chat yang Lebih Aman   WhatsApp Chat Telegram aplikasi Signal Wire   httpstcoqUOLe11YpE via tribunkaltim,['whatsapp' 'chat' 'telegram' 'aplikasi' 'signal' 'wire'],0,0.0
43,2021-07-30 08:17:31,PrivacyDigest,Facebook Wanted NSO Spyware to Monitor Users NSO CEO Claims  In a courtfiled declaration NSO Group’s CEO says Facebook tried to buy an Apple spying tool in 2017  httpstcomXRG402PgZ,[],2,0.0
44,2021-07-30 08:15:01,kdniemi,US lawmakers call for probe into ‘arrogant’ spyware firm  httpstcobpRLQuCmAr,[],0,2.0
45,2021-07-30 08:15:00,Mattie258,SecBlinken Check into the Pegasus Project  A military grade Spyware exported from a Israeli company To foreign governments all across the globe,[],1,2.0
46,2021-07-30 08:15:00,EconomicTimes,In Pics  Pegasus spyware scandal hits Parliamentary proceedings in the Monsoon session Text by Aditya  httpstcoSe9vvNR795,[],4,0.0
47,2021-07-30 08:14:11,MetalRabbit13,Nice PR move Bet it means shit in the long run 👇🏿 Spyware,['spyware'],0,1.0
48,2021-07-30 08:13:18,TFL1728,Uninstall all Google Spyware is a good start,[],7,1.0
49,2021-07-30 08:12:17,__spv,Does anybody have a copy of this video Really want to watch it again P  Title Transforming totallynotspyware into quite some spyware  theres more i dont see  httpstco7S5gtSH0De,[],0,1.0
50,2021-07-30 08:12:03,Rapa224,🔴 White House has spoken to Israeli officials about spyware concerns following Pegasus Project revelations  httpstco2Kli89wwjp,[],0,0.0
51,2021-07-30 08:11:12,m_benhalilem,Israeli spyware firm linked to fake Black Lives Matter and Amnesty websites – report  Hacking  The Guardian  httpstcoEVtt2R9H9l,[],1,2.0
52,2021-07-30 08:08:40,LeakedsourceFan,Hello can i borrow ur leakedsource 3a,[],0,0.0
53,2021-07-30 08:01:45,JanetWa94118686,Beltway Insider BidenCuba Pegasus Spyware PaulFauci Clash COVIDVaccine Totals Weinstein Bezos Olympics  httpstcolSNw0Vh2Gi,[],0,0.0
54,2021-07-30 08:01:00,M157q_News_RSS,Facebook Wanted NSO Spyware to Monitor Users NSO CEO Claims 2020  httpstcoTRQOEDARLW Article URL  httpstcoTRQOEDARLW Comments URL  httpstco44ALowSxrT Points 102  Comments 12,[],0,0.0
55,2021-07-30 08:00:11,whoskj2,Over 500 concerned citizens write to CJI for probe into PegasusSnoopgate Every citizen is aghast many countries have initiated investigation even Israel raided spywaremaker NSO Who in India is  blocking probe Why    httpstcoJ6zW1N1BFi,['pegasussnoopgate'],0,2.0
56,2021-07-30 08:00:11,rennie62,Pegasus spyware is just the latest tool autocrats are using to stay in power  George Monbiot  httpstcoO1MEWqX62m  httpstcoE4kRF3yGtm,[],0,1.0
57,2021-07-30 07:58:42,DarkMattersProj,Mexico says officials spent 61 million on Pegasus spyware  httpstcoBhQ9BHAJmy,[],0,2.0
58,2021-07-30 07:57:12,gomstosky,Pegasus Spyware   httpstcorA3BsVnLk8,['pegasus' 'spyware'],0,0.0
59,2021-07-30 07:55:39,prettypadmaja,RShivshankar Why is the  inspection necessary Is Israel  govt afraid of Spyware being pirated  Should they not be issuing the statement otherwise ,[],4,2.0
60,2021-07-30 07:55:16,EoinLlewellyn,SeniorsAction Hey Monsanto any chance you were using Pegasus spyware from Israel Oh sorry your now owned by Bayer Germany with your very questionable history in science how are you going to balance this,[],0,2.0
61,2021-07-30 07:53:31,THIRU1231,RahulGandhi  Sir Save Democracy from destroyers of Democracy Our country Democrats is respected by the world Whereas BJP Govt has been trying to destruct the pillars of Democracy ie freedom of expression Fraternity amp Privacy by Spyware,[],0,0.0
62,2021-07-30 07:52:41,NcsVentures,Pegasus spyware What to know about this phone surveillance tool from NSO Group  cybersecurity  cyberattack  httpstcoYqTeYysxyT,['cybersecurity' 'cyberattack'],1,0.0
